Interval,CSVdata
2019-01-20 23:06:37.900,2019-01-20 23:06:37.900
2019-01-20 23:06:46.600,2019-01-20 23:06:46.600
2019-01-20 23:07:03.730,2019-01-20 23:07:03.730
2019-01-20 23:07:22.130,2019-01-20 23:07:22.130
2019-01-20 23:07:40.680,2019-01-20 23:07:40.680
2019-01-20 23:07:59.400,2019-01-20 23:07:59.400
2019-01-20 23:08:18.040,2019-01-20 23:08:18.040
2019-01-20 23:08:37.330,2019-01-20 23:08:37.330
2019-01-20 23:08:56.090,2019-01-20 23:08:56.090
2019-01-20 23:09:14.550,2019-01-20 23:09:14.550
2019-01-20 23:09:33.650,2019-01-20 23:09:33.650
2019-01-20 23:09:52.510,2019-01-20 23:09:52.510
2019-01-20 23:10:10.980,2019-01-20 23:10:10.980
2019-01-20 23:10:29.120,2019-01-20 23:10:29.120
2019-01-20 23:10:47.820,2019-01-20 23:10:47.820
2019-01-20 23:11:06.400,2019-01-20 23:11:06.400
2019-01-20 23:11:25.370,2019-01-20 23:11:25.370
2019-01-20 23:11:42.530,2019-01-20 23:11:42.530
2019-01-20 23:11:59.510,2019-01-20 23:11:59.510
2019-01-20 23:12:19.020,2019-01-20 23:12:19.020
2019-01-20 23:12:38.520,2019-01-20 23:12:38.520
2019-01-20 23:12:57.500,2019-01-20 23:12:57.500
2019-01-20 23:13:16.270,2019-01-20 23:13:16.270
2019-01-20 23:13:34.800,2019-01-20 23:13:34.800
2019-01-20 23:13:53.320,2019-01-20 23:13:53.320
2019-01-20 23:14:12.600,2019-01-20 23:14:12.600
2019-01-20 23:14:31.580,2019-01-20 23:14:31.580
2019-01-20 23:14:50.330,2019-01-20 23:14:50.330
2019-01-20 23:15:09.780,2019-01-20 23:15:09.780
2019-01-20 23:15:29.530,2019-01-20 23:15:29.530
2019-01-20 23:15:47.470,2019-01-20 23:15:47.470
2019-01-20 23:16:05.030,2019-01-20 23:16:05.030
2019-01-20 23:16:23.880,2019-01-20 23:16:23.880
2019-01-20 23:16:42.730,2019-01-20 23:16:42.730
2019-01-20 23:17:00.740,2019-01-20 23:17:00.740
2019-01-20 23:17:19.080,2019-01-20 23:17:19.080
2019-01-20 23:17:38.520,2019-01-20 23:17:38.520
2019-01-20 23:17:57.890,2019-01-20 23:17:57.890
2019-01-20 23:18:16.590,2019-01-20 23:18:16.590
2019-01-20 23:18:33.720,2019-01-20 23:18:33.720
2019-01-20 23:18:51.370,2019-01-20 23:18:51.370
2019-01-20 23:19:10.700,2019-01-20 23:19:10.700
2019-01-20 23:19:29.050,2019-01-20 23:19:29.050
2019-01-20 23:19:45.460,2019-01-20 23:19:45.460
2019-01-20 23:20:04.700,2019-01-20 23:20:04.700
2019-01-20 23:20:24.840,2019-01-20 23:20:24.840
2019-01-20 23:20:43.890,2019-01-20 23:20:43.890
2019-01-20 23:21:01.780,2019-01-20 23:21:01.780
2019-01-20 23:21:19.260,2019-01-20 23:21:19.260
2019-01-20 23:21:38.000,2019-01-20 23:21:38.000
2019-01-20 23:21:56.360,2019-01-20 23:21:56.360
2019-01-20 23:22:15.090,2019-01-20 23:22:15.090
2019-01-20 23:22:34.000,2019-01-20 23:22:33.000
2019-01-20 23:22:52.590,2019-01-20 23:22:52.590
2019-01-20 23:23:11.770,2019-01-20 23:23:11.770
2019-01-20 23:23:30.630,2019-01-20 23:23:30.630
2019-01-20 23:23:49.530,2019-01-20 23:23:49.530
2019-01-20 23:24:08.180,2019-01-20 23:24:08.180
2019-01-20 23:24:26.420,2019-01-20 23:24:26.420
2019-01-20 23:24:44.810,2019-01-20 23:24:44.810
2019-01-20 23:25:04.080,2019-01-20 23:25:04.080
2019-01-20 23:25:22.560,2019-01-20 23:25:22.560
2019-01-20 23:25:40.570,2019-01-20 23:25:40.570
2019-01-20 23:25:59.870,2019-01-20 23:25:59.870
2019-01-20 23:26:19.090,2019-01-20 23:26:19.090
2019-01-20 23:26:38.450,2019-01-20 23:26:38.450
2019-01-20 23:26:58.390,2019-01-20 23:26:58.390
2019-01-20 23:27:18.120,2019-01-20 23:27:18.120
2019-01-20 23:27:37.120,2019-01-20 23:27:37.120
2019-01-20 23:27:56.520,2019-01-20 23:27:56.520
2019-01-20 23:28:14.260,2019-01-20 23:28:14.260
2019-01-20 23:28:32.030,2019-01-20 23:28:32.030
2019-01-20 23:28:51.250,2019-01-20 23:28:51.250
2019-01-20 23:29:10.970,2019-01-20 23:29:10.970
2019-01-20 23:29:31.270,2019-01-20 23:29:31.270
2019-01-20 23:29:49.390,2019-01-20 23:29:49.390
2019-01-20 23:30:07.410,2019-01-20 23:30:07.410
2019-01-20 23:30:26.730,2019-01-20 23:30:26.730
2019-01-20 23:30:45.730,2019-01-20 23:30:45.730
2019-01-20 23:31:04.940,2019-01-20 23:31:04.940
2019-01-20 23:31:24.640,2019-01-20 23:31:24.640
2019-01-20 23:31:44.520,2019-01-20 23:31:44.520
2019-01-20 23:32:03.520,2019-01-20 23:32:03.520
2019-01-20 23:32:22.410,2019-01-20 23:32:22.410
2019-01-20 23:32:40.140,2019-01-20 23:32:40.140
2019-01-20 23:32:57.450,2019-01-20 23:32:57.450
2019-01-20 23:33:16.260,2019-01-20 23:33:16.260
2019-01-20 23:33:35.730,2019-01-20 23:33:35.730
2019-01-20 23:33:53.640,2019-01-20 23:33:53.640
2019-01-20 23:34:11.290,2019-01-20 23:34:11.290
2019-01-20 23:34:29.030,2019-01-20 23:34:29.030
2019-01-20 23:34:47.090,2019-01-20 23:34:47.090
2019-01-20 23:35:06.190,2019-01-20 23:35:06.190
2019-01-20 23:35:25.050,2019-01-20 23:35:25.050
2019-01-20 23:35:44.590,2019-01-20 23:35:44.590
2019-01-20 23:36:03.720,2019-01-20 23:36:03.720
2019-01-20 23:36:21.710,2019-01-20 23:36:21.710
2019-01-20 23:36:39.870,2019-01-20 23:36:39.870
2019-01-20 23:36:59.290,2019-01-20 23:36:59.290
2019-01-20 23:37:17.100,2019-01-20 23:37:17.100
2019-01-20 23:37:34.540,2019-01-20 23:37:34.540
2019-01-20 23:37:53.530,2019-01-20 23:37:53.530
2019-01-20 23:38:12.870,2019-01-20 23:38:12.870
2019-01-20 23:38:32.160,2019-01-20 23:38:32.160
2019-01-20 23:38:49.520,2019-01-20 23:38:49.520
2019-01-20 23:39:07.270,2019-01-20 23:39:07.270
2019-01-20 23:39:26.630,2019-01-20 23:39:26.630
2019-01-20 23:39:45.520,2019-01-20 23:39:45.520
2019-01-20 23:40:03.110,2019-01-20 23:40:03.110
2019-01-20 23:40:21.450,2019-01-20 23:40:21.450
2019-01-20 23:40:41.540,2019-01-20 23:40:41.540
2019-01-20 23:40:58.730,2019-01-20 23:40:58.730
2019-01-20 23:41:16.320,2019-01-20 23:41:16.320
2019-01-20 23:41:35.810,2019-01-20 23:41:35.810
2019-01-20 23:41:53.810,2019-01-20 23:41:53.810
2019-01-20 23:42:10.500,2019-01-20 23:42:10.500
2019-01-20 23:42:29.010,2019-01-20 23:42:29.010
2019-01-20 23:42:49.160,2019-01-20 23:42:49.160
2019-01-20 23:43:07.310,2019-01-20 23:43:07.310
2019-01-20 23:43:25.180,2019-01-20 23:43:25.180
2019-01-20 23:43:43.760,2019-01-20 23:43:43.760
2019-01-20 23:44:00.560,2019-01-20 23:44:00.560
2019-01-20 23:44:18.830,2019-01-20 23:44:18.830
2019-01-20 23:44:37.970,2019-01-20 23:44:37.970
2019-01-20 23:44:56.870,2019-01-20 23:44:56.870
2019-01-20 23:45:15.180,2019-01-20 23:45:15.180
2019-01-20 23:45:33.600,2019-01-20 23:45:33.600
2019-01-20 23:45:53.470,2019-01-20 23:45:53.470
2019-01-20 23:46:11.880,2019-01-20 23:46:11.880
2019-01-20 23:46:29.290,2019-01-20 23:46:29.290
2019-01-20 23:46:48.660,2019-01-20 23:46:48.660
2019-01-20 23:47:07.430,2019-01-20 23:47:07.430
2019-01-20 23:47:25.810,2019-01-20 23:47:25.810
2019-01-20 23:47:44.520,2019-01-20 23:47:44.520
2019-01-20 23:48:02.960,2019-01-20 23:48:02.960
2019-01-20 23:48:22.610,2019-01-20 23:48:22.610
2019-01-20 23:48:42.140,2019-01-20 23:48:42.140
2019-01-20 23:49:00.540,2019-01-20 23:49:00.540
2019-01-20 23:49:18.890,2019-01-20 23:49:18.890
2019-01-20 23:49:38.560,2019-01-20 23:49:38.560
2019-01-20 23:49:57.360,2019-01-20 23:49:57.360
2019-01-20 23:50:15.660,2019-01-20 23:50:15.660
2019-01-20 23:50:33.810,2019-01-20 23:50:33.810
2019-01-20 23:50:51.340,2019-01-20 23:50:51.340
2019-01-20 23:51:08.960,2019-01-20 23:51:08.960
2019-01-20 23:51:26.970,2019-01-20 23:51:26.970
2019-01-20 23:51:46.880,2019-01-20 23:51:46.880
2019-01-20 23:52:05.480,2019-01-20 23:52:05.480
2019-01-20 23:52:22.080,2019-01-20 23:52:22.080
2019-01-20 23:52:40.160,2019-01-20 23:52:40.160
2019-01-20 23:52:57.930,2019-01-20 23:52:57.930
2019-01-20 23:53:15.900,2019-01-20 23:53:15.900
2019-01-20 23:53:35.560,2019-01-20 23:53:35.560
2019-01-20 23:53:54.830,2019-01-20 23:53:54.830
2019-01-20 23:54:12.570,2019-01-20 23:54:12.570
2019-01-20 23:54:30.780,2019-01-20 23:54:30.780
2019-01-20 23:54:42.200,2019-01-20 23:54:42.200
2019-01-20 23:55:00.030,2019-01-20 23:55:00.030
2019-01-20 23:55:27.450,2019-01-20 23:55:27.450
2019-01-20 23:55:45.100,2019-01-20 23:55:45.100
2019-01-20 23:56:03.800,2019-01-20 23:56:03.800
2019-01-20 23:56:21.050,2019-01-20 23:56:21.050
2019-01-20 23:56:39.750,2019-01-20 23:56:39.750
2019-01-20 23:56:58.440,2019-01-20 23:56:58.440
2019-01-20 23:57:14.260,2019-01-20 23:57:14.260
2019-01-20 23:57:35.350,2019-01-20 23:57:35.350
2019-01-20 23:57:53.190,2019-01-20 23:57:53.190
2019-01-20 23:58:10.650,2019-01-20 23:58:10.650
2019-01-20 23:58:29.340,2019-01-20 23:58:29.340
2019-01-20 23:58:48.040,2019-01-20 23:58:48.040
2019-01-20 23:59:05.290,2019-01-20 23:59:05.290
2019-01-20 23:59:23.990,2019-01-20 23:59:23.990
2019-01-20 23:59:42.680,2019-01-20 23:59:42.680
2019-01-21 00:00:01.380,2019-01-21 00:00:01.380
2019-01-21 00:00:20.070,2019-01-21 00:00:20.070
2019-01-21 00:00:38.760,2019-01-21 00:00:38.760
2019-01-21 00:00:57.460,2019-01-21 00:00:57.460
2019-01-21 00:01:14.710,2019-01-21 00:01:14.710
2019-01-21 00:01:33.410,2019-01-21 00:01:33.410
2019-01-21 00:01:52.100,2019-01-21 00:01:52.100
2019-01-21 00:02:09.360,2019-01-21 00:02:09.360
2019-01-21 00:02:28.050,2019-01-21 00:02:28.050
2019-01-21 00:02:46.750,2019-01-21 00:02:46.750
2019-01-21 00:03:05.440,2019-01-21 00:03:05.440
2019-01-21 00:03:24.130,2019-01-21 00:03:24.130
2019-01-21 00:03:41.390,2019-01-21 00:03:41.390
2019-01-21 00:03:58.650,2019-01-21 00:03:58.650
2019-01-21 00:04:15.900,2019-01-21 00:04:15.900
2019-01-21 00:04:34.600,2019-01-21 00:04:34.600
2019-01-21 00:04:53.290,2019-01-21 00:04:53.290
2019-01-21 00:05:10.550,2019-01-21 00:05:10.550
2019-01-21 00:05:29.240,2019-01-21 00:05:29.240
2019-01-21 00:05:47.940,2019-01-21 00:05:47.940
2019-01-21 00:06:05.190,2019-01-21 00:06:05.190
2019-01-21 00:06:22.450,2019-01-21 00:06:22.450
2019-01-21 00:06:41.090,2019-01-21 00:06:41.090
2019-01-21 00:06:59.390,2019-01-21 00:06:59.390
2019-01-21 00:07:16.890,2019-01-21 00:07:16.890
2019-01-21 00:07:34.390,2019-01-21 00:07:34.390
2019-01-21 00:07:51.890,2019-01-21 00:07:51.890
2019-01-21 00:08:10.640,2019-01-21 00:08:10.640
2019-01-21 00:08:29.390,2019-01-21 00:08:29.390
2019-01-21 00:08:46.890,2019-01-21 00:08:46.890
2019-01-21 00:09:05.960,2019-01-21 00:09:05.960
2019-01-21 00:09:24.890,2019-01-21 00:09:24.890
2019-01-21 00:09:43.180,2019-01-21 00:09:43.180
2019-01-21 00:10:02.140,2019-01-21 00:10:02.140
2019-01-21 00:10:20.890,2019-01-21 00:10:20.890
2019-01-21 00:10:38.390,2019-01-21 00:10:38.390
2019-01-21 00:10:57.980,2019-01-21 00:10:57.980
2019-01-21 00:11:15.640,2019-01-21 00:11:15.640
2019-01-21 00:11:32.890,2019-01-21 00:11:32.890
2019-01-21 00:11:50.140,2019-01-21 00:11:50.140
2019-01-21 00:12:08.440,2019-01-21 00:12:08.440
2019-01-21 00:12:26.180,2019-01-21 00:12:26.180
2019-01-21 00:12:44.640,2019-01-21 00:12:44.640
2019-01-21 00:13:01.940,2019-01-21 00:13:01.940
2019-01-21 00:13:20.180,2019-01-21 00:13:20.180
2019-01-21 00:13:38.640,2019-01-21 00:13:38.640
2019-01-21 00:13:56.640,2019-01-21 00:13:56.640
2019-01-21 00:14:14.640,2019-01-21 00:14:14.640
2019-01-21 00:14:32.300,2019-01-21 00:14:32.300
2019-01-21 00:14:50.140,2019-01-21 00:14:50.140
