Roll_date,Roll_time,Roll_milliseconds,Roll_angle
2019-08-19,20:09:26,543,-0.19
2019-08-19,20:09:26,643,-0.16
2019-08-19,20:09:26,743,-0.14
2019-08-19,20:09:26,843,-0.12
2019-08-19,20:09:26,943,-0.1
2019-08-19,20:09:27,043,-0.09
2019-08-19,20:09:27,143,-0.08
2019-08-19,20:09:27,243,-0.08
2019-08-19,20:09:27,343,-0.08
2019-08-19,20:09:27,443,-0.08
2019-08-19,20:09:27,543,-0.09
2019-08-19,20:09:27,643,-0.1
2019-08-19,20:09:27,743,-0.11
2019-08-19,20:09:27,843,-0.13
2019-08-19,20:09:27,943,-0.15
2019-08-19,20:09:28,043,-0.17
2019-08-19,20:09:28,143,-0.19
2019-08-19,20:09:28,243,-0.21
2019-08-19,20:09:28,343,-0.23
2019-08-19,20:09:28,443,-0.25
2019-08-19,20:09:28,543,-0.28
2019-08-19,20:09:28,643,-0.3
2019-08-19,20:09:28,744,-0.32
2019-08-19,20:09:28,844,-0.35
2019-08-19,20:09:28,944,-0.38
2019-08-19,20:09:29,044,-0.4
2019-08-19,20:09:29,144,-0.43
2019-08-19,20:09:29,244,-0.46
2019-08-19,20:09:29,344,-0.49
2019-08-19,20:09:29,444,-0.52
2019-08-19,20:09:29,544,-0.55
2019-08-19,20:09:29,643,-0.58
2019-08-19,20:09:29,743,-0.61
2019-08-19,20:09:29,844,-0.63
2019-08-19,20:09:29,943,-0.66
2019-08-19,20:09:30,044,-0.69
2019-08-19,20:09:30,144,-0.72
2019-08-19,20:09:30,243,-0.75
2019-08-19,20:09:30,343,-0.77
2019-08-19,20:09:30,444,-0.8
2019-08-19,20:09:30,543,-0.83
2019-08-19,20:09:30,643,-0.85
2019-08-19,20:09:30,743,-0.88
2019-08-19,20:09:30,843,-0.91
2019-08-19,20:09:30,943,-0.93
2019-08-19,20:09:31,043,-0.96
2019-08-19,20:09:31,143,-0.99
2019-08-19,20:09:31,243,-1.01
2019-08-19,20:09:31,343,-1.04
2019-08-19,20:09:31,443,-1.07
2019-08-19,20:09:31,543,-1.09
2019-08-19,20:09:31,643,-1.12
2019-08-19,20:09:31,743,-1.14
2019-08-19,20:09:31,843,-1.16
2019-08-19,20:09:31,943,-1.17
2019-08-19,20:09:32,043,-1.18
2019-08-19,20:09:32,143,-1.19
2019-08-19,20:09:32,243,-1.19
2019-08-19,20:09:32,343,-1.2
2019-08-19,20:09:32,443,-1.19
2019-08-19,20:09:32,543,-1.18
2019-08-19,20:09:32,643,-1.17
2019-08-19,20:09:32,743,-1.15
2019-08-19,20:09:32,843,-1.14
2019-08-19,20:09:32,943,-1.11
2019-08-19,20:09:33,043,-1.09
2019-08-19,20:09:33,143,-1.06
2019-08-19,20:09:33,243,-1.03
2019-08-19,20:09:33,343,-0.99
2019-08-19,20:09:33,443,-0.96
2019-08-19,20:09:33,543,-0.92
2019-08-19,20:09:33,643,-0.88
2019-08-19,20:09:33,743,-0.83
2019-08-19,20:09:33,843,-0.79
2019-08-19,20:09:33,943,-0.74
2019-08-19,20:09:34,043,-0.69
2019-08-19,20:09:34,143,-0.63
2019-08-19,20:09:34,243,-0.58
2019-08-19,20:09:34,343,-0.53
2019-08-19,20:09:34,443,-0.47
2019-08-19,20:09:34,543,-0.42
2019-08-19,20:09:34,643,-0.37
2019-08-19,20:09:34,743,-0.32
2019-08-19,20:09:34,843,-0.28
2019-08-19,20:09:34,943,-0.23
2019-08-19,20:09:35,043,-0.19
2019-08-19,20:09:35,143,-0.15
2019-08-19,20:09:35,243,-0.12
2019-08-19,20:09:35,343,-0.09
2019-08-19,20:09:35,443,-0.06
2019-08-19,20:09:35,543,-0.04
2019-08-19,20:09:35,643,-0.03
2019-08-19,20:09:35,743,-0.01
2019-08-19,20:09:35,843,0
2019-08-19,20:09:35,943,0
2019-08-19,20:09:36,043,0
2019-08-19,20:09:36,143,0
2019-08-19,20:09:36,243,-0.01
2019-08-19,20:09:36,343,-0.02
2019-08-19,20:09:36,443,-0.03
2019-08-19,20:09:36,543,-0.05
